,0,Var_90
212,-163537.84999999992,NaN
213,-80627.60000000003,NaN
214,72673.35000000043,NaN
215,-65098.40000000014,NaN
216,142467.0,NaN
217,40507.95000000013,NaN
218,-74941.85000000025,NaN
219,-172994.45,NaN
220,61428.70000000007,NaN
221,495605.2,NaN
222,-26011.80000000031,NaN
223,-2887.1500000000233,NaN
224,273501.6999999995,NaN
225,-59192.60000000018,NaN
226,-54880.05000000019,NaN
227,174611.1500000002,NaN
228,5840.900000000489,NaN
229,-22725.750000000087,NaN
230,-2972.1999999997206,NaN
231,,NaN
232,,NaN
233,217631.04999999996,NaN
234,-78945.39999999983,NaN
235,43303.50000000022,NaN
236,93809.50000000007,NaN
237,-74267.60000000003,NaN
238,135969.79999999993,NaN
239,-5232.700000000477,NaN
240,116455.90000000011,NaN
241,240520.15000000008,NaN
242,67709.24999999994,NaN
243,394512.2000000003,NaN
244,-92343.94999999995,NaN
245,-31084.599999999627,NaN
246,-262543.29999999993,NaN
247,372247.90000000014,NaN
248,160555.34999999986,NaN
249,164906.04999999987,NaN
250,-74252.39999999979,NaN
251,-128232.49999999962,NaN
252,179204.9499999999,NaN
253,-186405.2999999998,NaN
254,-134704.80000000037,NaN
255,60166.45000000078,NaN
256,-106144.10000000015,NaN
257,-124614.4,NaN
258,80314.75,NaN
259,-43051.60000000011,NaN
260,98545.24999999996,NaN
261,30235.549999999683,NaN
262,-76767.44999999946,NaN
263,-55741.84999999986,NaN
264,61575.299999999785,NaN
265,-35189.49999999994,NaN
266,-153865.4,NaN
267,111564.25,NaN
268,-54837.949999999866,NaN
269,-15020.09999999925,NaN
270,-167693.7500000004,NaN
271,-95757.19999999995,NaN
272,192622.0500000003,NaN
273,216371.0999999999,NaN
274,11436.10000000002,NaN
275,257141.39999999973,NaN
276,175169.84999999992,NaN
277,-37890.499999999796,NaN
278,-118957.70000000003,NaN
279,253193.70000000007,NaN
280,102695.29999999974,NaN
281,28922.400000000227,NaN
282,38275.20000000026,NaN
283,-23353.750000000146,NaN
284,27304.29999999974,NaN
285,196835.6499999999,NaN
286,162968.10000000015,NaN
287,86810.65000000017,NaN
288,-52035.99999999971,NaN
289,-242985.34999999992,NaN
290,-149613.95,NaN
291,-5972.450000000041,NaN
292,133055.40000000046,NaN
293,-24756.650000000605,NaN
294,220967.15000000026,NaN
295,-43064.80000000005,NaN
296,-291876.6499999993,NaN
297,188047.39999999997,NaN
298,-115004.2999999995,NaN
299,45979.34999999983,NaN
